epoch,train_loss,train_accuracy,test_loss,test_accuracy,
1,0.21474599243005116,93.66,0.065653746,98,
2,0.060694249,98.105,0.050057192298583686,98.39,
3,0.042868669,98.68333333333334,0.037320492764282974,98.7,
4,0.031738007868329685,98.98166666666667,0.032696025896444915,98.92,
5,0.024123386,99.21,0.036602605,98.8,
6,0.019567795672640203,99.375,0.032961527,98.92,
7,0.016162966,99.48833333333333,0.031568841,98.99,
8,0.011837762,99.62833333333333,0.030267093666325674,99.04,
9,0.010973250209602216,99.63333333333334,0.042137129,98.7,
10,0.009987357,99.66333333333333,0.032963244,99.01,
1,0.20843008692463239,93.91,0.056351468,98.16,
2,0.054401341,98.32833333333333,0.046991468,98.51,
3,0.036160234,98.84833333333333,0.031574498,98.92,
4,0.023446504,99.275,0.031772213,98.86,
5,0.017925998479003707,99.41,0.033063833,98.95,
6,0.013505839551674823,99.575,0.027701216257923808,99.11,
7,0.009260233,99.72,0.031492730450024826,99.08,
8,0.010065287415419394,99.64833333333333,0.033506793,98.98,
9,0.009453338,99.66833333333334,0.03959211,98.82,
10,0.006417545,99.78,0.033570091784966644,99.11,
1,0.3385723711235691,89.68333333333334,0.092660148,97.1,
2,0.079918503,97.48166666666667,0.0601611,97.98,
3,0.055622814557771245,98.24666666666667,0.043144270098861306,98.6,
4,0.043602971,98.59333333333333,0.042794266,98.54,
5,0.034792195,98.91666666666667,0.04404098,98.62,
6,0.030256755,99.01666666666667,0.038513772007846274,98.73,
7,0.023835234,99.25833333333334,0.031344281,98.93,
8,0.020753610440577542,99.33833333333334,0.030558888,99.02,
9,0.017286923742899772,99.41833333333334,0.035687406,98.86,
10,0.014585746223104995,99.56,0.029776291600661354,98.97,
1,0.21478614846467972,93.68,0.065420485,97.98,
2,0.060747047,98.12833333333333,0.050166285,98.42,
3,0.042999106987317404,98.67166666666667,0.035427984,98.77,
4,0.031727614,99.005,0.03210239,98.86,
5,0.024436471,99.22166666666666,0.037359345212299375,98.81,
6,0.019637611725802223,99.365,0.031698068,98.98,
7,0.015526012825593353,99.48,0.029015473,99.06,
8,0.012529816628992557,99.58833333333334,0.031725539,98.97,
9,0.011173938383193065,99.65,0.042532358617195856,98.57,
10,0.00981899,99.67333333333333,0.034818819,98.98,adamw
1,0.5411733742237091,84.95833333333333,0.12227210010290146,96.33,
2,0.095520656,97.09833333333333,0.066048662,98,
3,0.060278582,98.135,0.050099285723781216,98.3,
4,0.045390659518539905,98.60833333333333,0.037886245,98.73,
5,0.035355868739883105,98.86666666666666,0.04183195,98.66,
6,0.029519745,99.045,0.037996452511148526,98.7,
7,0.022655329,99.27333333333333,0.036039189,98.83,
8,0.019057457,99.36333333333333,0.033111178461275995,98.96,
9,0.016209096,99.46666666666667,0.036140534374781416,98.78,
10,0.012923218866344541,99.58,0.031680332395317964,99.04,radam
